track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Snowflakes Are Dancing,Kurt Vile,Wakin On A Pretty Daze,2018-09-01,0,33,0.0,0.47,0.06,125,4,0.42,0.96,0.12,0.25
Pure Pain,Kurt Vile,Wakin On A Pretty Daze,2018-09-01,0,36,0.31,0.36,0.04,107,4,0.51,0.75,0.42,0.06
Too Hard,Kurt Vile,Wakin On A Pretty Daze,2018-09-01,0,34,0.7,0.26,0.03,107,4,0.17,0.48,0.14,0.9
Leave Me Alone - 2015 Remastered Version,New Order,"Power, Corruption & Lies",2018-09-06,0,49,0.05,0.54,0.03,134,4,0.88,0.86,0.1,0.5
5-8-6 - 2015 Remastered Version,New Order,"Power, Corruption & Lies",2018-09-06,0,43,0.01,0.54,0.07,126,4,0.74,0.73,0.05,0.02
Just Like Tom Thumb's Blues,Bob Dylan,Highway 61 Revisited,2018-08-31,0,44,0.7,0.5,0.03,99,4,0.59,0.51,0.26,0.0
Ultraviolence - 2015 Remastered Version,New Order,"Power, Corruption & Lies",2018-09-06,0,42,0.0,0.85,0.04,127,4,0.96,0.92,0.06,0.77
Your Silent Face - 2015 Remastered Version,New Order,"Power, Corruption & Lies",2018-09-06,0,53,0.01,0.64,0.03,117,4,0.79,0.78,0.15,0.63
I Love My Dad,Sun Kil Moon,Benji,2018-09-14,0,32,0.87,0.84,0.05,111,4,0.66,0.33,0.35,0.0
Let's Go Away For Awhile - Remastered,The Beach Boys,Pet Sounds (40th Anniversary / Stereo Mix),2018-09-16,0,27,0.18,0.33,0.03,87,3,0.08,0.2,0.07,0.89
Wouldn't It Be Nice - Stereo Mix,The Beach Boys,Pet Sounds (40th Anniversary / Stereo Mix),2018-09-16,0,32,0.7,0.39,0.03,124,4,0.72,0.56,0.1,0.0
Luna - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,44,0.01,0.57,0.03,125,4,0.11,0.27,0.12,0.79
Never Run Away,Kurt Vile,Wakin On A Pretty Daze,2018-09-01,0,39,0.18,0.57,0.04,107,4,0.33,0.78,0.11,0.0
Up !,M83,Saturdays = Youth,2018-08-30,0,26,0.17,0.55,0.03,119,4,0.07,0.6,0.34,0.0
Flash Of The Blade - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,45,0.0,0.39,0.06,111,4,0.53,0.97,0.21,0.01
Master Of Puppets,Metallica,Master Of Puppets (Remastered),2018-08-11,0,73,0.0,0.54,0.04,105,4,0.56,0.84,0.15,0.43
Back In The Village - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,42,0.0,0.34,0.09,132,4,0.37,0.97,0.48,0.0
"Damage, Inc.",Metallica,Master Of Puppets (Remastered),2018-08-11,0,43,0.0,0.33,0.17,91,4,0.14,0.85,0.13,0.47
Orion,Metallica,Master Of Puppets (Remastered),2018-08-11,0,47,0.0,0.36,0.04,128,4,0.4,0.67,0.11,0.89
Leper Messiah,Metallica,Master Of Puppets (Remastered),2018-08-11,0,44,0.0,0.38,0.07,138,4,0.56,0.81,0.32,0.79
Disposable Heroes,Metallica,Master Of Puppets (Remastered),2018-08-11,0,45,0.0,0.29,0.09,90,4,0.43,0.93,0.09,0.47
The Thing That Should Not Be,Metallica,Master Of Puppets (Remastered),2018-08-11,0,46,0.0,0.68,0.03,111,4,0.44,0.72,0.13,0.35
Battery,Metallica,Master Of Puppets (Remastered),2018-08-11,0,62,0.0,0.48,0.07,96,4,0.43,0.93,0.11,0.56
Midnight Souls Still Remain,M83,Saturdays = Youth,2018-08-30,0,33,0.97,0.17,0.05,66,4,0.04,0.04,0.11,0.75
Holy Will,Blood Orange,Negro Swan,2018-08-24,0,58,0.62,0.3,0.06,85,4,0.18,0.26,0.16,0.0
Dagenham Dream,Blood Orange,Negro Swan,2018-08-24,0,58,0.59,0.53,0.13,177,4,0.5,0.4,0.11,0.0
GIZMO,harunemuri,kick in the world,2018-08-29,0,19,0.0,0.62,0.05,126,4,0.26,0.8,0.34,0.0
kick in the hell (HELLZAVIELERJP remix),harunemuri,kick in the world,2018-08-29,0,16,0.17,0.71,0.29,126,4,0.1,0.76,0.37,0.0
Utopia (Acoustic ver.),harunemuri,kick in the world,2018-08-29,0,18,0.76,0.68,0.06,106,4,0.11,0.26,0.19,0.0
Midnight Souls Still Remain,M83,Saturdays = Youth,2018-08-30,0,34,0.97,0.18,0.04,67,4,0.04,0.04,0.11,0.76
Sweet Sweet - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,36,0.0,0.37,0.03,98,4,0.21,0.32,0.16,0.48
Silverfuck - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,41,0.0,0.29,0.05,126,4,0.04,0.46,0.08,0.8
Soma - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,46,0.02,0.29,0.03,134,4,0.1,0.28,0.12,0.83
Cry To Me,IDLES,Joy as an Act of Resistance.,2018-09-29,0,48,0.01,0.49,0.08,115,4,0.56,0.8,0.08,0.49
Telephony,Have A Nice Life,Deathconsciousness,2018-09-28,0,32,0.0,0.52,0.04,130,4,0.49,0.39,0.84,0.57
Samaritans,IDLES,Joy as an Act of Resistance.,2018-09-29,0,52,0.0,0.42,0.16,117,4,0.15,0.95,0.1,0.0
Rottweiler,IDLES,Joy as an Act of Resistance.,2018-09-29,0,48,0.0,0.22,0.09,111,4,0.18,0.9,0.46,0.0
Gram Rock,IDLES,Joy as an Act of Resistance.,2018-09-29,0,49,0.0,0.38,0.13,108,4,0.46,0.95,0.6,0.0
Great,IDLES,Joy as an Act of Resistance.,2018-09-29,0,51,0.0,0.4,0.15,108,4,0.24,0.99,0.1,0.0
Television,IDLES,Joy as an Act of Resistance.,2018-09-29,0,51,0.0,0.43,0.13,105,4,0.14,0.96,0.27,0.0
June,IDLES,Joy as an Act of Resistance.,2018-09-29,0,50,0.15,0.44,0.03,98,4,0.04,0.41,0.11,0.21
Spaceboy - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,41,0.01,0.36,0.04,121,4,0.21,0.32,0.1,0.58
Love Song,IDLES,Joy as an Act of Resistance.,2018-09-29,0,52,0.0,0.27,0.05,168,4,0.14,0.83,0.11,0.01
Rest Stop,Kero Kero Bonito,Time 'n' Place,2018-09-30,0,32,0.3,0.71,0.08,99,4,0.05,0.57,0.13,0.0
Swimming,Kero Kero Bonito,Time 'n' Place,2018-09-30,0,32,0.69,0.68,0.03,120,4,0.6,0.61,0.1,0.0
Sometimes,Kero Kero Bonito,Time 'n' Place,2018-09-30,0,32,0.75,0.62,0.03,125,4,0.53,0.48,0.12,0.0
Visiting Hours,Kero Kero Bonito,Time 'n' Place,2018-09-30,0,33,0.03,0.52,0.03,128,4,0.53,0.87,0.26,0.0
Dear Future Self,Kero Kero Bonito,Time 'n' Place,2018-09-30,0,33,0.83,0.63,0.03,128,4,0.31,0.49,0.43,0.0
I Don't Love,Have A Nice Life,Deathconsciousness,2018-09-28,0,38,0.22,0.37,0.04,99,4,0.12,0.48,0.5,0.89
Earthmover,Have A Nice Life,Deathconsciousness,2018-09-28,0,34,0.04,0.35,0.06,120,4,0.04,0.56,0.14,0.98
No 13 Baby,Pixies,Doolittle,2018-09-24,0,46,0.0,0.69,0.04,122,4,0.28,0.64,0.04,0.01
Fascination Street - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,39,0.0,0.51,0.08,100,4,0.5,0.91,0.17,0.46
Last Dance - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,40,0.47,0.33,0.05,184,4,0.55,0.77,0.34,0.58
Pictures Of You - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,48,0.0,0.48,0.03,171,4,0.55,0.76,0.14,0.11
Closedown - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,37,0.32,0.52,0.03,93,4,0.62,0.76,0.13,0.77
Plainsong - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,38,0.0,0.36,0.03,86,4,0.12,0.43,0.09,0.66
Lullaby - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,41,0.19,0.72,0.03,94,4,0.57,0.55,0.07,0.68
Disintegration - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,38,0.32,0.59,0.06,122,4,0.13,0.94,0.37,0.03
Prayers For Rain - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,41,0.0,0.56,0.03,116,4,0.12,0.68,0.08,0.09
Homesick - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,35,0.13,0.49,0.03,156,4,0.57,0.69,0.1,0.73
Untitled - Remastered,The Cure,Disintegration (Remastered),2018-09-19,0,33,0.62,0.66,0.03,95,4,0.19,0.69,0.11,0.08
Geek U.S.A. - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,43,0.0,0.3,0.06,125,4,0.3,0.92,0.07,0.76
Quiet - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,44,0.0,0.42,0.03,98,4,0.26,0.84,0.28,0.57
Hummer - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,45,0.0,0.29,0.03,165,4,0.11,0.54,0.37,0.44
Rocket - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,0,45,0.0,0.2,0.03,89,4,0.36,0.66,0.07,0.93
2 Minutes To Midnight - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,62,0.0,0.46,0.07,95,4,0.52,0.95,0.14,0.0
The Duelists - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,43,0.0,0.24,0.07,158,4,0.62,0.96,0.13,0.05
Tep And The Logic,James Blake,James Blake,2018-07-19,0,34,0.78,0.46,0.03,139,4,0.12,0.14,0.19,0.92
Walcott,Vampire Weekend,Vampire Weekend,2018-07-25,0,47,0.51,0.4,0.03,160,4,0.59,0.56,0.22,0.02
Stepson,Foals,Holy Fire,2018-07-25,0,43,0.3,0.66,0.03,119,4,0.34,0.58,0.1,0.73
California English,Vampire Weekend,Contra,2018-07-25,0,41,0.08,0.61,0.32,164,4,0.67,0.64,0.37,0.0
Out Of The Woods,Foals,Holy Fire,2018-07-25,0,47,0.08,0.7,0.05,131,4,0.86,0.8,0.24,0.01
Bryn,Vampire Weekend,Vampire Weekend,2018-07-25,0,41,0.05,0.51,0.04,179,3,0.85,0.75,0.32,0.02
One (Blake's Got A New Face),Vampire Weekend,Vampire Weekend,2018-07-25,0,42,0.04,0.89,0.04,109,4,0.75,0.57,0.09,0.0
I Stand Corrected,Vampire Weekend,Vampire Weekend,2018-07-25,0,42,0.28,0.68,0.11,160,4,0.11,0.64,0.18,0.35
M79,Vampire Weekend,Vampire Weekend,2018-07-25,0,48,0.14,0.77,0.04,113,4,0.95,0.6,0.29,0.0
Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,0,65,0.0,0.47,0.06,180,4,0.62,0.74,0.08,0.06
Everytime,Foals,Holy Fire,2018-07-25,0,45,0.0,0.57,0.04,129,4,0.6,0.88,0.11,0.58
The Kids Don't Stand A Chance,Vampire Weekend,Vampire Weekend,2018-07-25,0,45,0.29,0.66,0.04,140,4,0.88,0.46,0.18,0.57
Mansard Roof,Vampire Weekend,Vampire Weekend,2018-07-25,0,46,0.34,0.53,0.14,165,4,0.76,0.7,0.22,0.0
Giving Up The Gun,Vampire Weekend,Contra,2018-07-25,0,49,0.0,0.64,0.05,134,4,0.74,0.88,0.06,0.0
Cousins,Vampire Weekend,Contra,2018-07-25,0,55,0.0,0.49,0.2,176,4,0.82,0.81,0.07,0.0
Run,Vampire Weekend,Contra,2018-07-25,0,47,0.01,0.64,0.06,113,4,0.8,0.74,0.06,0.05
Moon,Foals,Holy Fire,2018-07-25,0,43,0.8,0.23,0.03,146,4,0.12,0.26,0.19,0.82
This House is a Circus,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,0,57,0.0,0.48,0.04,155,4,0.66,0.84,0.27,0.0
Powerslave - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,52,0.0,0.31,0.1,137,4,0.25,0.98,0.54,0.08
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,2018-07-25,0,76,0.05,0.69,0.04,92,4,0.8,0.63,0.1,0.0
One For The Road,Arctic Monkeys,AM,2018-07-25,0,67,0.21,0.42,0.04,180,4,0.84,0.67,0.27,0.06
Arabella,Arctic Monkeys,AM,2018-07-25,0,73,0.02,0.58,0.09,179,4,0.51,0.56,0.21,0.0
I Want It All,Arctic Monkeys,AM,2018-07-25,0,64,0.0,0.5,0.03,131,4,0.29,0.81,0.06,0.07
No. 1 Party Anthem,Arctic Monkeys,AM,2018-07-25,0,67,0.33,0.5,0.03,115,4,0.6,0.7,0.1,0.09
Mad Sounds,Arctic Monkeys,AM,2018-07-25,0,64,0.28,0.53,0.03,80,4,0.48,0.46,0.1,0.2
Knee Socks,Arctic Monkeys,AM,2018-07-25,0,69,0.12,0.66,0.03,97,4,0.59,0.54,0.34,0.0
Snap Out Of It,Arctic Monkeys,AM,2018-07-25,0,73,0.25,0.73,0.03,130,4,0.87,0.64,0.12,0.0
The Bad Thing,Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,0,56,0.0,0.55,0.08,111,4,0.54,0.95,0.26,0.0
R U Mine?,Arctic Monkeys,AM,2018-07-25,0,78,0.01,0.29,0.04,97,4,0.62,0.76,0.3,0.0
I Wanna Be Yours,Arctic Monkeys,AM,2018-07-25,0,72,0.14,0.46,0.03,67,4,0.48,0.42,0.1,0.02
Milk & Black Spiders,Foals,Holy Fire,2018-07-25,0,48,0.0,0.56,0.05,124,4,0.5,0.8,0.11,0.76
Fireside,Arctic Monkeys,AM,2018-07-25,0,64,0.02,0.54,0.06,100,4,0.74,0.95,0.11,0.0
Do I Wanna Know?,Arctic Monkeys,AM,2018-07-25,0,82,0.19,0.55,0.03,85,4,0.4,0.53,0.22,0.0
"If You Were There, Beware",Arctic Monkeys,Favourite Worst Nightmare,2018-07-25,0,57,0.0,0.33,0.04,135,4,0.26,0.8,0.1,0.05
Taxi Cab,Vampire Weekend,Contra,2018-07-25,0,44,0.3,0.69,0.07,167,4,0.69,0.36,0.08,0.49
Holiday,Vampire Weekend,Contra,2018-07-25,0,49,0.02,0.72,0.11,155,4,0.89,0.78,0.13,0.0
White Sky,Vampire Weekend,Contra,2018-07-25,0,49,0.11,0.57,0.06,135,4,0.91,0.68,0.36,0.01
So It Goes,Mac Miller,Swimming,2018-08-07,0,76,0.81,0.58,0.23,148,4,0.29,0.56,0.09,0.12
R.I.P. SCREW,Travis Scott,ASTROWORLD,2018-08-03,0,83,0.39,0.61,0.29,74,4,0.56,0.61,0.11,0.0
SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,0,97,0.01,0.83,0.22,155,4,0.45,0.73,0.12,0.0
CAROUSEL,Travis Scott,ASTROWORLD,2018-08-03,0,84,0.23,0.43,0.21,95,5,0.13,0.4,0.22,0.0
STARGAZING,Travis Scott,ASTROWORLD,2018-08-03,0,92,0.01,0.49,0.04,150,4,0.06,0.79,0.19,0.0
5% TINT,Travis Scott,ASTROWORLD,2018-08-03,0,82,0.17,0.71,0.05,140,4,0.06,0.48,0.24,0.0
Small Worlds,Mac Miller,Swimming,2018-08-07,0,76,0.81,0.52,0.25,78,4,0.52,0.55,0.1,0.0
Jet Fuel,Mac Miller,Swimming,2018-08-07,0,77,0.54,0.79,0.07,119,4,0.28,0.56,0.1,0.0
Horchata,Vampire Weekend,Contra,2018-07-25,0,50,0.07,0.84,0.14,120,4,0.83,0.79,0.29,0.0
Dunno,Mac Miller,Swimming,2018-08-07,0,76,0.77,0.62,0.04,81,4,0.1,0.23,0.13,0.01
Conversation Pt. 1,Mac Miller,Swimming,2018-08-07,0,74,0.64,0.79,0.11,145,4,0.26,0.47,0.11,0.0
Welcome Home (Sanitarium),Metallica,Master Of Puppets (Remastered),2018-08-11,0,48,0.0,0.31,0.03,96,4,0.42,0.77,0.1,0.1
Intro,Kanye West,The College Dropout,2018-08-11,0,4,0.31,0.75,0.9,80,4,0.37,0.37,0.49,0.0
Losfer Words (Big 'Orra) - 1998 Remastered Version,Iron Maiden,Powerslave (1998 Remastered Edition),2018-08-11,0,43,0.0,0.4,0.07,77,4,0.39,0.99,0.12,0.85
Often,The Weeknd,Beauty Behind The Madness,2018-08-11,0,41,0.23,0.57,0.04,134,4,0.08,0.61,0.13,0.0
STOP TRYING TO BE GOD,Travis Scott,ASTROWORLD,2018-08-03,0,84,0.22,0.59,0.06,150,4,0.11,0.57,0.14,0.0
NO BYSTANDERS,Travis Scott,ASTROWORLD,2018-08-03,0,83,0.02,0.73,0.07,147,4,0.43,0.81,0.41,0.0
SKELETONS,Travis Scott,ASTROWORLD,2018-08-03,0,80,0.0,0.46,0.04,148,4,0.25,0.69,0.38,0.0
ASTROTHUNDER,Travis Scott,ASTROWORLD,2018-08-03,0,81,0.14,0.7,0.07,151,4,0.29,0.46,0.11,0.0
WAKE UP,Travis Scott,ASTROWORLD,2018-08-03,0,85,0.19,0.74,0.1,149,4,0.49,0.64,0.16,0.0
YOSEMITE,Travis Scott,ASTROWORLD,2018-08-03,0,88,0.28,0.78,0.04,128,4,0.14,0.55,0.12,0.0
CAN'T SAY,Travis Scott,ASTROWORLD,2018-08-03,0,84,0.2,0.7,0.05,147,4,0.71,0.71,0.12,0.0
WHO? WHAT!,Travis Scott,ASTROWORLD,2018-08-03,0,81,0.05,0.83,0.06,140,4,0.68,0.73,0.07,0.0
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,2018-08-03,0,86,0.05,0.76,0.05,140,4,0.19,0.63,0.11,0.0
HOUSTONFORNICATION,Travis Scott,ASTROWORLD,2018-08-03,0,82,0.1,0.69,0.08,160,4,0.29,0.72,0.16,0.0
COFFEE BEAN,Travis Scott,ASTROWORLD,2018-08-03,0,79,0.09,0.81,0.12,95,4,0.5,0.58,0.21,0.01
NC-17,Travis Scott,ASTROWORLD,2018-08-03,0,81,0.07,0.8,0.05,136,4,0.06,0.76,0.37,0.0
幻霧,Heaven In Her Arms,白暈,2018-07-28,0,10,0.02,0.47,0.08,141,3,0.04,0.77,0.09,0.48
枷,Heaven In Her Arms,白暈,2018-07-28,0,10,0.53,0.32,0.47,123,4,0.15,0.45,0.82,0.59
円環を綯う,Heaven In Her Arms,白暈,2018-07-28,0,11,0.0,0.34,0.15,160,3,0.05,0.94,0.16,0.19
終焉の眩しさ,Heaven In Her Arms,白暈,2018-07-28,0,13,0.0,0.27,0.13,172,3,0.04,0.93,0.08,0.7
Late Night,Foals,Holy Fire,2018-07-25,0,56,0.21,0.61,0.03,116,4,0.12,0.4,0.12,0.1
Jet-Star And The Kobra Kid/Traffic Report,My Chemical Romance,Danger Days: The True Lives Of The Fabulous Killjoys,2018-03-23,0,7,0.81,0.71,0.83,111,4,0.92,0.39,0.45,0.0
Planetary [GO!],My Chemical Romance,Danger Days: The True Lives Of The Fabulous Killjoys,2018-03-23,0,57,0.0,0.61,0.05,131,4,0.72,0.95,0.36,0.27
Nothing To Find,The War On Drugs,A Deeper Understanding,2017-08-25,0,55,0.0,0.33,0.05,157,4,0.63,0.92,0.27,0.13
The Finished Line,Oxbow,Thin Black Duke,2017-11-29,0,17,0.01,0.42,0.03,100,3,0.16,0.46,0.07,0.52
Taxi’s Here,Tame Impala,Currents B-Sides & Remixes,2017-11-20,0,15,0.62,0.57,0.03,100,4,0.4,0.57,0.07,0.5
Reality In Motion - GUM Remix,Tame Impala,Currents B-Sides & Remixes,2017-11-20,0,8,0.08,0.77,0.1,114,4,0.35,0.67,0.38,0.58
List Of People (To Try And Forget About),Tame Impala,Currents B-Sides & Remixes,2017-11-20,0,23,0.09,0.34,0.04,95,4,0.19,0.8,0.1,0.0
Powerlines,Tame Impala,Currents B-Sides & Remixes,2017-11-20,0,15,0.03,0.54,0.05,104,4,0.36,0.89,0.34,0.03
Let It Happen - Soulwax Remix,Tame Impala,Currents B-Sides & Remixes,2017-11-20,0,19,0.18,0.73,0.03,125,4,0.79,0.85,0.11,0.8
Cold & Well-Lit Place,Oxbow,Thin Black Duke,2017-11-29,0,33,0.0,0.42,0.04,84,4,0.38,0.85,0.09,0.0
Other People,Oxbow,Thin Black Duke,2017-11-29,0,19,0.0,0.33,0.04,136,4,0.07,0.65,0.52,0.29
"Out of My Mind - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,49,0.4,0.39,0.04,108,3,0.24,0.39,0.75,0.07
The Upper,Oxbow,Thin Black Duke,2017-11-29,0,18,0.01,0.44,0.03,148,3,0.25,0.65,0.1,0.14
Host,Oxbow,Thin Black Duke,2017-11-29,0,20,0.0,0.26,0.09,142,4,0.14,0.92,0.11,0.01
Letter of Note,Oxbow,Thin Black Duke,2017-11-29,0,22,0.01,0.29,0.04,112,4,0.1,0.58,0.12,0.38
A Gentleman's Gentleman,Oxbow,Thin Black Duke,2017-11-29,0,21,0.0,0.36,0.05,163,4,0.38,0.92,0.29,0.11
Ecce Homo,Oxbow,Thin Black Duke,2017-11-29,0,24,0.02,0.22,0.03,172,3,0.1,0.52,0.08,0.12
Still Together,Mac DeMarco,2,2017-11-29,0,54,0.64,0.62,0.06,96,4,0.28,0.16,0.07,0.0
"Bold as Love - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,50,0.05,0.39,0.08,104,4,0.33,0.6,0.97,0.0
"Good Love Is On the Way - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,50,0.01,0.23,0.07,186,4,0.38,0.88,0.97,0.01
Robson Girl,Mac DeMarco,2,2017-11-29,0,50,0.06,0.46,0.05,178,4,0.77,0.88,0.28,0.02
"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,51,0.06,0.25,0.08,172,4,0.57,0.9,0.97,0.0
Slow Moves,José González,Veneer,2017-11-01,0,41,0.94,0.69,0.05,100,4,0.16,0.08,0.11,0.92
Stay in the Shade,José González,Veneer,2017-11-01,0,39,0.95,0.58,0.04,102,4,0.07,0.23,0.11,0.49
"Why Georgia - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,52,0.02,0.42,0.03,99,4,0.42,0.76,0.96,0.0
"The Heart of Life - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,52,0.78,0.41,0.03,90,4,0.33,0.39,0.7,0.0
"Waiting On the World to Change - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,51,0.14,0.54,0.12,88,4,0.54,0.91,0.97,0.0
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,50,0.72,0.39,0.04,143,3,0.36,0.46,0.67,0.07
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,61,0.71,0.37,0.03,91,4,0.28,0.44,0.97,0.0
"Come When I Call - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,50,0.38,0.79,0.06,112,4,0.66,0.49,0.7,0.0
"Wait Until Tomorrow - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,50,0.02,0.49,0.07,117,4,0.74,0.91,0.7,0.0
"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,53,0.36,0.75,0.03,99,4,0.61,0.61,0.96,0.01
"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,56,0.77,0.53,0.03,121,3,0.41,0.38,0.94,0.0
"Everyday I Have The Blues - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,51,0.0,0.36,0.04,98,4,0.46,0.61,0.93,0.0
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,76,0.77,0.32,0.03,172,4,0.44,0.3,0.7,0.0
"Who Did You Think I Was - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2017-11-12,0,52,0.01,0.29,0.13,99,4,0.44,0.95,0.8,0.35
The Stars Keep On Calling My Name,Mac DeMarco,2,2017-11-29,0,53,0.03,0.69,0.03,136,4,0.61,0.72,0.36,0.01
Sherrill,Mac DeMarco,2,2017-11-29,0,48,0.08,0.55,0.04,80,4,0.54,0.71,0.1,0.0
SING,My Chemical Romance,Danger Days: The True Lives Of The Fabulous Killjoys,2018-03-23,0,59,0.0,0.61,0.04,110,4,0.37,0.94,0.11,0.0
Disciples,Tame Impala,Currents,2017-12-02,0,25,0.07,0.67,0.03,127,4,0.8,0.88,0.4,0.6
Brother,Mac DeMarco,Salad Days,2017-12-02,0,56,0.13,0.57,0.03,93,4,0.51,0.67,0.43,0.06
Goodbye Weekend,Mac DeMarco,Salad Days,2017-12-02,0,54,0.17,0.56,0.03,80,4,0.6,0.79,0.33,0.02
"New Person, Same Old Mistakes",Tame Impala,Currents,2017-12-02,0,31,0.25,0.47,0.05,151,4,0.52,0.82,0.05,0.0
'Cause I'm A Man,Tame Impala,Currents,2017-12-02,0,31,0.1,0.54,0.04,144,4,0.63,0.7,0.13,0.0
Reality In Motion,Tame Impala,Currents,2017-12-02,0,22,0.16,0.53,0.06,115,4,0.5,0.91,0.4,0.0
On the Level,Mac DeMarco,This Old Dog,2017-12-02,0,62,0.09,0.57,0.03,77,4,0.52,0.47,0.2,0.4
Blue Boy,Mac DeMarco,Salad Days,2017-12-02,0,60,0.44,0.49,0.04,81,4,0.6,0.79,0.21,0.3
Let My Baby Stay,Mac DeMarco,Salad Days,2017-12-02,0,57,0.78,0.78,0.03,89,4,0.63,0.28,0.1,0.55
Moonlight on the River,Mac DeMarco,This Old Dog,2017-12-02,0,58,0.25,0.66,0.05,139,4,0.43,0.48,0.22,0.83
Gossip,Tame Impala,Currents,2017-12-02,0,21,0.97,0.55,0.03,119,3,0.38,0.2,0.1,0.96
Yes I'm Changing,Tame Impala,Currents,2017-12-02,0,29,0.09,0.38,0.03,179,4,0.39,0.61,0.07,0.0
The Moment,Tame Impala,Currents,2017-12-02,0,29,0.0,0.33,0.06,119,4,0.46,0.82,0.1,0.09
Watching Him Fade Away,Mac DeMarco,This Old Dog,2017-12-02,0,53,0.98,0.74,0.07,139,4,0.3,0.07,0.11,0.01
This Old Dog,Mac DeMarco,This Old Dog,2017-12-02,0,62,0.22,0.75,0.04,138,4,0.62,0.4,0.21,0.09
Let Her Go,Mac DeMarco,Salad Days,2017-12-02,0,59,0.01,0.59,0.03,111,4,0.81,0.66,0.16,0.12
