track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
QUEER,BROCKHAMPTON,SATURATION II,2017-08-25,1,65,0.15,0.77,0.18,82,4,0.68,0.62,0.06,0.0
137,Brand New,Science Fiction,2017-08-23,1,43,0.15,0.51,0.03,120,4,0.16,0.57,0.12,0.01
Desert,Brand New,Science Fiction,2017-08-23,1,41,0.69,0.72,0.04,109,4,0.42,0.5,0.11,0.0
call the police,LCD Soundsystem,american dream,2017-09-01,1,52,0.0,0.38,0.04,151,4,0.34,0.73,0.08,0.0
In the Water,Brand New,Science Fiction,2017-08-23,1,41,0.03,0.5,0.03,131,4,0.13,0.46,0.1,0.0
No Control,Brand New,Science Fiction,2017-08-23,1,40,0.07,0.3,0.04,86,4,0.28,0.63,0.58,0.2
451,Brand New,Science Fiction,2017-08-23,1,40,0.0,0.42,0.05,131,4,0.34,0.8,0.11,0.45
Batter Up,Brand New,Science Fiction,2017-08-23,1,39,0.9,0.48,0.03,80,4,0.05,0.25,0.1,0.06
The Same Deep Water As You - Remastered,The Cure,Disintegration (Remastered),2018-09-19,1,36,0.5,0.34,0.08,199,4,0.17,0.81,0.94,0.33
Out of Mana,Brand New,Science Fiction,2017-08-23,1,42,0.01,0.34,0.05,164,4,0.24,0.67,0.39,0.0
Cancer,My Chemical Romance,The Black Parade,2015-01-22,1,64,0.36,0.46,0.03,74,4,0.22,0.52,0.28,0.0
Dancing Shoes,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2016-10-09,1,5,0.0,0.52,0.05,144,4,0.85,0.89,0.34,0.0
Shore,Fredrik Sjölin,Last Leaf,2017-12-12,1,2,0.88,0.15,0.04,139,4,0.04,0.07,0.12,0.73
In the Backseat,Arcade Fire,Funeral,2017-07-17,1,47,0.46,0.33,0.03,169,4,0.22,0.55,0.07,0.06
Disarm - Remastered,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),2018-09-18,1,62,0.14,0.53,0.03,129,4,0.22,0.42,0.14,0.78
Polska From Dorotea (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.89,0.48,0.04,138,3,0.4,0.28,0.12,0.32
Tjønneblomen (Arr. For String Quartet),Gjermund Haugen,Last Leaf,2017-12-12,1,7,0.92,0.19,0.04,80,4,0.13,0.09,0.14,0.27
Minuet No. 60 (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.96,0.31,0.05,104,4,0.17,0.06,0.24,0.28
Jewelry,Blood Orange,Negro Swan,2018-08-24,1,61,0.48,0.45,0.04,128,4,0.16,0.26,0.27,0.0
zzz pt.ⅰ,harunemuri,harutosyura,2018-06-07,1,32,0.43,0.46,0.07,54,4,0.09,0.36,0.06,0.0
Cooking Up Something Good,Mac DeMarco,2,2017-11-29,1,57,0.08,0.75,0.03,98,3,0.85,0.44,0.12,0.0
